Timestamp,Verified?,Link,Name,OS,Mountain,Select TT Challenge.10,Enter time as (sec).(mil) EX: 62.69.10,Select HS Challenge.10,Enter score as just a number.10,Challenge Type.9,Was WR,Unnamed: 69,challenge name,type,score,chaltype
2021-02-04 21:13:11,Yes,https://drive.google.com/open?id=19hk-2g9Uruin5ymvxbMeRW8KhUuSajRm,hschindele,iOS,Hirschalm,,,,,,TRUE,Race,The First Turns,Time trial,27.12,Race
2021-04-02 9:51:22,Yes,https://drive.google.com/open?id=1a1aK7ajlS78hilRvaYAj4K3mYSogwXil,hschindele,iOS,Hirschalm,,,,,,TRUE,Trail,Sightseeing Tour,Time trial,21.87,Trail
2021-01-04 17:34:55,Yes,https://drive.google.com/open?id=1OPjfQVQ48I3-GKSVSxU8OI5JMJsldl5T,hschindele,iOS,Elnakka,,,,,,TRUE,Race,The Perfect Turns,Time trial,13.64,Race
2021-04-08 21:34:02,Yes,https://drive.google.com/open?id=1y51-K8cJXYH9p4Cm9tPz25hmEUGkEoPI,hschindele,iOS,Hirschalm,,,,,,TRUE,Race,The Winding Road,Time trial,36.62,Race
2021-09-24 8:12:31,Yes,https://drive.google.com/open?id=1dEElUXmcDUO4PWIReXiQTlyK5LQmfk0p,hschindele,iOS,Hirschalm,,,,,,TRUE,,The Little Adventure,Time trial,25.6,Race
2022-01-24 13:12:15,Yes,https://drive.google.com/open?id=1wnEA0f2viehBWOGgIa0G4T1IY1on1phG,Avel,iOS,Passo Grolla,,,,,,TRUE,,La Transitions,Time trial,9.08,Trail
2020-12-16 9:35:20,Yes,https://drive.google.com/open?id=1XZvOBV5rlBEtX1_YOhEmH4tZLy3ORYBm,hschindele,iOS,Waldtal,,,,,,TRUE,Race,Selme Valley Race,Time trial,46.94,Race
2021-11-24 12:47:04,Yes,https://drive.google.com/open?id=1O8ojrS89ZccfkiR_gSCGSIrjXz74qHjs,hschindele,iOS,Passo Grolla,,,,,,,,Twisty Rosso,Time trial,27.21,Race
2020-12-18 12:21:12,Yes,https://drive.google.com/open?id=1Sewh1a1EmtyYxaUCM5ge3Zb7sFzQPNqv,hschindele,iOS,Waldtal,,,,,,TRUE,Trail,Little Drops,Time trial,9.96,Trail
2022-02-15 18:05:02,Yes,https://drive.google.com/open?id=1ljC_n62qPkZzpjrXpnv3hrMB6ugEAoT_,hschindele,iOS,Waldtal,,,,,,TRUE,,Gemsgully Whites,Time trial,30.91,Race
2021-09-30 10:27:53,Yes,https://drive.google.com/open?id=163Fr-2W8RIVQVCrLpNcAOhOIdFZBQxpK,Mountain_Greg,Android,Waldtal,,,,,,TRUE,,Waldhorn Voyage,Time trial,53.48,TTB
2022-03-21 6:20:40,Yes,https://drive.google.com/open?id=1g4wtrg9sda3OL5f3d1wTtgtGEn9UWcmv,Jamiemac,Android,Ben Ailig,,,,,,TRUE,,The Swindler,Time Trial,22.99,Race
2021-02-04 21:53:21,Yes,https://drive.google.com/open?id=16fgYabBTE88yEvV5nmj4fYAdW0Rw4cs2,hschindele,iOS,Hirschalm,,,,,,TRUE,Race,The Offpist Trail,Time trial,30.73,Race
2022-02-15 19:57:30,Yes,https://drive.google.com/open?id=1M6V0Q9PDMhQJyTALgPqGLHBz-Y9Prk3p,hschindele,iOS,Waldtal,,,,,,TRUE,,The Woodland Track,Time trial,20.33,Race
2020-12-20 12:02:01,Yes,https://drive.google.com/open?id=13yvrpeyz88yB_KrahN04crgSmZvGCtGR,hschindele,iOS,Elnakka,,,,,,TRUE,Race,The Path Finder,Time trial,33.58,Race
2020-11-15 21:04:16,Yes,https://drive.google.com/open?id=1pdzZw9NHyZnAyItPlRNCuXBrZzZq2a3-,hschindele,iOS,Elnakka,,,,,,TRUE,Race,Super G,Time trial,36.51,Race
2022-03-04 12:24:44,Yes,https://drive.google.com/open?id=1zXf55c21rBr1CizQgFdtBL0KewZ_poCv,Avel,iOS,Elnakka,,,,,,TRUE,,Ellnau Shoulder Track,Time trial,29.73,Race
2021-05-02 16:51:25,Yes,https://drive.google.com/open?id=17co04rZHRuTol4G_o1-vjZYadPy4fBoR,hschindele,iOS,Elnakka,,,,,,TRUE,Trail,Forest Excursion,Time trial,20.62,Trail
2021-12-21 10:25:47,Yes,https://drive.google.com/open?id=1jtFR6xKY-89mhRxM1HDkcqAN-OZspgKX,hschindele,iOS,Elnakka,,,,,,TRUE,,Elnakka West,Time trial,25.5,TTB
2021-12-18 8:24:03,Yes,https://drive.google.com/open?id=1NQ_vEToWOrxkf4q1w5wuVGLW4afS-BEX,hschindele,iOS,Elnakka,,,,,,TRUE,,Across The Clover Ridge,Time trial,38.11,Trail
2021-04-26 14:33:40,Yes,https://drive.google.com/open?id=1H23fq0IYivvZTr1n1GShhdDPb7qVUEQu,BouncyJello,Android,Dalarna,,,,,,TRUE,Race,Malung Scooter Club,Time trial,29.42,Race
2021-03-29 9:41:28,Yes,https://drive.google.com/open?id=10sPJoAWxOSoa4MU_4_So_4RPLJn0lyme,hschindele,iOS,Dalarna,,,,,,TRUE,Race,Follow The Trails Of Wasa,Time trial,27.0,Race
2021-06-25 15:54:22,Yes,https://drive.google.com/open?id=1M3Pd-GMp2_OkdULAdfwPp781KWckWJLF,BouncyJello,Android,Dalarna,,,,,,TRUE,Race,Zick Zack The Lift,Time trial,29.77,Race
2021-03-04 21:19:42,Yes,https://drive.google.com/open?id=1hEgkApS-w3mWVIM4rKczV98ivbrOzrTu,hschindele,iOS,Dalarna,,,,,,TRUE,Race,Follow The Tracks,Time trial,30.61,Race
2021-05-04 16:11:38,Yes,https://drive.google.com/open?id=19f9JfLI5NWzvC548aki74O4mvIXUA3bw,BouncyJello,Android,Dalarna,,,,,,TRUE,Race,The Clearcut,Time trial,25.98,Race
2021-03-05 14:55:56,Yes,https://drive.google.com/open?id=1UtLN2BLJPRZ3xdLUpIH6MQ3tiZAN-U59,hschindele,iOS,Dalarna,,,,,,TRUE,Trail,Mora Barnyards,Time trial,22.72,Trail
2021-12-30 14:32:47,Yes,https://drive.google.com/open?id=1eNNAzw-UTzHbSFpQF0DvCvFU_XUuhvVF,Avel,iOS,Dalarna,,,,,,TRUE,,Leksand Rail,Time trial,17.64,Trail
2021-04-07 13:55:35,Yes,https://drive.google.com/open?id=1aDbcuQ6te9lacZ-a1JaTYcr_snIVoL2f,hschindele,iOS,Dalarna,,,,,,TRUE,Trail,Thru Alvdalen,Time trial,18.71,Trail
2021-11-25 4:16:53,Yes,https://drive.google.com/open?id=1nD0b-F5ZUgG-S8S1e7K-RnmqSJn75Aix,Mountain_Greg,Android,Dalarna,,,,,,TRUE,,Dalarna Voyage,Time trial,36.87,TTB
2021-06-18 10:12:00,Yes,https://drive.google.com/open?id=1RCkMI13684Hsq6SR9MBS9WBu8nzIbJY2,hschindele,iOS,Dalarna,,,,,,TRUE,Trail,Drifting The Frozen Lake,Time trial,8.73,Trail
2021-02-16 20:44:08,Yes,https://drive.google.com/open?id=1i6ZoWOMiC9P2QwEk3FiTy0ksy894Ltzw,hschindele,iOS,Rotkamm,,,,,,TRUE,Trail,Gross Air,Time trial,9.0,Trail
2021-04-07 14:35:29,Yes,https://drive.google.com/open?id=1ZJ5kf8QUgDcbFBZg5ja3MMxPFn9mXfrh,hschindele,iOS,Rotkamm,,,,,,TRUE,Trail,Sketchy Bears,Time trial,22.5,Trail
2021-05-10 15:03:09,Yes,https://drive.google.com/open?id=1yhjU87QsgWcs6D3Z3vlZgik0dXh_sv1s,hschindele,iOS,Rotkamm,,,,,,TRUE,Trail,Slippery Slope,Time trial,21.75,Trail
2021-06-17 10:35:57,Yes,https://drive.google.com/open?id=1OSaMZtRkX_PwX8YsTImX7EKBaC2_XwnA,hschindele,iOS,Rotkamm,,,,,,TRUE,Trail,Precision Drops,Time trial,15.42,Trail
2021-05-10 10:10:42,Yes,https://drive.google.com/open?id=1WZBBewBILYg_lDxs8ELQv3A2INzlzVvs,hschindele,iOS,Rotkamm,,,,,,TRUE,Trail,Staying Between The Stones,Time trial,23.87,Trail
2021-04-01 14:37:13,Yes,https://drive.google.com/open?id=1eIFytAvsUyFuddaqig7hWUCacbJ302qU,hschindele,iOS,Saint Luvette,,,,,,TRUE,Race,Les Ruins,Time trial,22.96,Race
2021-06-17 11:24:59,Yes,https://drive.google.com/open?id=1UrkNp3rWdgrtxslXNt8xM6DPTt1ahCws,hschindele,iOS,Saint Luvette,,,,,,TRUE,Trail,The Traverse,Time trial,13.27,Trail
2021-07-17 12:02:51,Yes,https://drive.google.com/open?id=1nOP-hKw_s3EsVym8Kukegkyyrmx9X6Mf,hschindele,iOS,Passo Grolla,,,,,,TRUE,Race,Maniaco,Time trial,17.65,Race
2021-06-21 9:11:42,Yes,https://drive.google.com/open?id=1RIMAAFW7cUJA--owPcZnbZXrQ-6RjRWP,hschindele,iOS,Passo Grolla,,,,,,TRUE,Trail,Elasto Mania Uno,Time trial,14.57,Trail
2021-06-17 16:02:37,Yes,https://drive.google.com/open?id=1YcGJf8lb4el3wNxCmCcUySRuBlhnv6HN,hschindele,iOS,Passo Grolla,,,,,,TRUE,Trail,Carosello Tre,Time trial,14.87,Trail
2021-06-30 6:33:19,Yes,https://drive.google.com/open?id=1m6xJhtaVd5eVcKpIlO-0LlPBX-VIPtaA,Mountain_Greg,Android,Passo Grolla,,,,,,TRUE,TTB,Luppolo,Time trial,22.49,TTB
2021-05-06 3:20:34,Yes,https://drive.google.com/open?id=1937ZiLtlt3n_MjTR7W9vz2QNxOxqbKvl,Ryan Monty,Android,Passo Grolla,,,,,,TRUE,Race,Glacier skipping,Time trial,43.33,Race
2020-12-28 23:25:59,Yes,https://drive.google.com/open?id=14RG1edXrXXcKT96xXbcZDboA9iOIl8kt,hschindele,iOS,Ben Ailig,,,,,,TRUE,Race,Ailigs Turn,Time Trial,20.31,Race
2020-11-18 15:20:27,Yes,https://drive.google.com/open?id=1GjF5Cf6pafONJOdztfXoD9bbjXKs90Hf,hschindele,iOS,Ben Ailig,,,,,,TRUE,Race,Rocket Rails,Time Trial,23.21,Race
2021-01-13 21:57:44,Yes,https://drive.google.com/open?id=1Ys8M4Em_5D2L_nNXYhPe2Ywe5SnGZBxc,James :),Android,Ben Ailig,,,,,,TRUE,Race,Rangers Ground,Time Trial,16.72,Race
2021-03-10 19:09:23,Yes,https://drive.google.com/open?id=1PmGwz7Th51Jrq_84l_569_ruRNunSRm7,hschindele,iOS,Ben Ailig,,,,,,TRUE,Race,Rangers Clais,Time Trial,23.42,Race
2021-03-10 13:10:09,Yes,https://drive.google.com/open?id=1HEXYWJT0MYgROpe-jgdGuuhC2ffPNGFd,hschindele,iOS,Ben Ailig,,,,,,TRUE,Race,Flower Race,Time Trial,19.24,Race
2021-05-05 12:11:45,Yes,https://drive.google.com/open?id=1_wdBJU6BSYRPZfAEZUAjHBId-zcG8ELs,hschindele,iOS,Ben Ailig,,,,,,TRUE,Race,The Feather Turns,Time Trial,33.23,Race
2021-06-19 21:45:39,Yes,https://drive.google.com/open?id=1A0bmih6wxlh9OQWYhrd32OouKrCuBsDe,hschindele,iOS,Ben Ailig,,,,,,TRUE,Race,Straight Lining,Time Trial,6.69,Race
2020-12-16 9:40:43,Yes,https://drive.google.com/open?id=1Xt7fGQtJMVgc9lvwGUjEd18vxmNnMrGn,hschindele,iOS,Ben Ailig,,,,,,TRUE,Trail,The Water Slide,Time Trial,6.53,Trail
2021-05-10 16:57:33,Yes,https://drive.google.com/open?id=1VaTUfnii9NhaMK2cNFAuIfUkrlLB-gJo,hschindele,iOS,Ben Ailig,,,,,,TRUE,Trail,Clais Each,Time Trial,18.04,Trail
2021-01-15 17:43:12,Yes,https://drive.google.com/open?id=1yQx7awjrDsg79QXrs0smthKrrtevP6Rm,hschindele,iOS,Ben Ailig,,,,,,TRUE,Trail,The Doon Whiteout,Time Trial,9.96,Trail
2021-03-10 13:09:02,Yes,https://drive.google.com/open?id=1mp7FLt4SYc44ADuhS12J3JMUYIDp5Cy2,hschindele,iOS,Ben Ailig,,,,,,TRUE,Trail,The Grasshopper,Time Trial,31.82,Trail
2021-05-05 12:50:43,Yes,https://drive.google.com/open?id=1bkG6mJnEDQObHLCezHhkVZbCYZJ7LDRw,hschindele,iOS,Ben Ailig,,,,,,TRUE,Trail,The Switch,Time Trial,9.63,Trail
2022-03-21 3:19:26,Yes,https://drive.google.com/open?id=1yg1QCHtfE8Oavi5nXW2H3lVtfMBZpyKP,Avel,iOS,Ben Ailig,,,,,,TRUE,,Raiders Run,Time Trial,18.41,Trail
2021-05-07 11:10:00,Yes,https://drive.google.com/open?id=1j8tdPIe_Khp48T5JgGlfPUbuNjWJbtSE,Ryan Monty,Android,Ben Ailig,,,,,,TRUE,Trail,Donn Meall Trials,Time Trial,29.62,Trail
2021-03-10 13:09:39,Yes,https://drive.google.com/open?id=19zAFE9eHN6RZ3RYfn84PrN7fNzN-zITc,hschindele,iOS,Ben Ailig,,,,,,TRUE,Trail,The Stripes,Time Trial,25.2,Trail
2022-03-04 12:22:00,Yes,https://drive.google.com/open?id=1oMH-D8PZHCeoGaldwWh6HJGViv3YZZer,Avel,iOS,Ben Ailig,,,,,,TRUE,,The Fearless,Time Trial,21.41,Trail
2021-06-18 10:42:05,Yes,https://drive.google.com/open?id=18z8b0gG6cDt2PJS0gbXHEGIkCC8gz8nu,hschindele,iOS,Ben Ailig,,,,,,TRUE,Trail,The Chase,Time Trial,29.22,Trail
2021-03-22 17:08:37,Yes,https://drive.google.com/open?id=1BCcXZrdniUz0eAt7NX1fjXPW36nHQaX8,hschindele,iOS,Ben Ailig,,,,,,TRUE,TTB,The Freedom Run,Time Trial,39.62,TTB
2021-10-09 13:50:39,Yes,https://drive.google.com/open?id=13cD7hhlQulKQVY9SAgT-MwcFxBMMDJLH,Mountain_Greg,Android,Ben Ailig,,,,,,TRUE,,Aileigs Adventure,Time Trial,51.42,TTB
2022-02-14 13:05:24,Yes,https://drive.google.com/open?id=1Xz1ovmvlUGll7SofhrRbxIQ2T0vNmgNn,hschindele,iOS,Elnakka,,,,,,TRUE,,Ellnau River Rush,Time trial,21.09,Trail
2020-12-19 12:31:58,Yes,https://drive.google.com/open?id=1LSA6umZotsEC-Lfda_tukJS4Z6_8a_SP,hschindele,iOS,Waldtal,,,,,,TRUE,Race,Peak To Valley Run,Time trial,49.3,Race
2020-12-25 16:13:08,Yes,https://drive.google.com/open?id=1ZGIhyDZ3Fldp141jIHWMoWHSoy3MfPlq,hschindele,iOS,Passo Grolla,,,,,,TRUE,Race,The Wanderer,Time trial,12.71,Race
2021-06-16 19:46:09,Yes,https://drive.google.com/open?id=1svwZCXVe8VIvIPPLdMVKyEObcIjZV70M,hschindele,iOS,Passo Grolla,,,,,,TRUE,Trail,Rockerfeller,Time trial,12.75,Trail
2022-03-11 8:48:18,Yes,https://drive.google.com/open?id=1-I8rzk-dRbxK555eRj_ZexW3oaViX4Sc,TheNameless,Android,Waldtal,,,,,,TRUE,,The Woodland Slalom,Time trial,22.87,Race
2021-10-31 6:58:59,Yes,https://drive.google.com/open?id=1hUIuBnbSrBBNDjxff5gh-lHotEafypYz,Avel,iOS,Passo Grolla,,,,,,TRUE,,Peak avalanche escape,Time trial,30.51,Race
2022-02-24 8:50:05,Yes,https://drive.google.com/open?id=1L4angK8LdLNDGKu89_nIz32e4IUGxtq5,hschindele,iOS,Passo Grolla,,,,,,TRUE,,Tombola,Time trial,18.97,Race
2021-06-16 17:53:31,Yes,https://drive.google.com/open?id=1ZXWwAO7tOHkDRVUXIMNnoFUYJ0ya48bw,hschindele,iOS,Passo Grolla,,,,,,TRUE,Race,Shards,Time trial,25.39,Race
2021-07-26 12:46:30,Yes,https://drive.google.com/open?id=1p-SmjmLj4kGa2pnVAOoD23zeFHRd7n5v,Mountain_Greg,Android,Saint Luvette,,,,,,TRUE,TTB,Full Luvette,Time trial,46.8,TTB
2021-02-24 13:33:03,Yes,https://drive.google.com/open?id=1wfMsViCrOEAq3octxJke7VB136hBCyyU,hschindele,iOS,Saint Luvette,,,,,,TRUE,Trail,Route Extreme,Time trial,37.52,Trail
2021-09-28 14:37:56,Yes,https://drive.google.com/open?id=1hb9IykWf0Z40jSnlt3At9fIgQqE5LZ96,Avel,iOS,Passo Grolla,,,,,,TRUE,,La Bomba,Time trial,9.08,Race
2021-03-05 14:58:07,Yes,https://drive.google.com/open?id=1s8M9LUMKK3K-ba_1zY0Q_ftyW0TQqirK,hschindele,iOS,Saint Luvette,,,,,,TRUE,Trail,Le Coq,Time trial,31.73,Trail
2022-02-27 13:20:39,Yes,https://drive.google.com/open?id=1Y1SHy0GeCmOmizwOax4Z9GTvzUiq9aJa,hschindele,iOS,Saint Luvette,,,,,,TRUE,,Saut de pic,Time trial,10.32,Trail
2021-12-30 15:17:45,Yes,https://drive.google.com/open?id=1kk7EyPlwulqgyTxjsBmESjyS-wxPphqq,Avel,iOS,Saint Luvette,,,,,,TRUE,,Rapide,Time trial,13.74,Race
2021-03-04 21:22:11,Yes,https://drive.google.com/open?id=1_VZktKv0q6IrauP4faGqO3bOGsf-C4FL,hschindele,iOS,Saint Luvette,,,,,,TRUE,Race,Le Probleme,Time trial,13.53,Race
2021-04-20 22:44:10,Yes,https://drive.google.com/open?id=1bYafoxMJi0NGUNnUfQamv7AfEtjXdqPr,Ryan Monty,Android,Saint Luvette,,,,,,TRUE,Race,Plus Choix,Time trial,19.55,Race
2020-12-23 14:06:41,Yes,https://drive.google.com/open?id=1K-fiUKDScpcsILPWHX7vcAitCHjxuaQb,hschindele,iOS,Rotkamm,,,,,,TRUE,Trail,Dropping In,Time trial,20.24,Trail
2020-12-23 13:47:20,Yes,https://drive.google.com/open?id=1Xr_pkHivxAuicT5NLgmgjhGoxtGmZUC1,hschindele,iOS,Rotkamm,,,,,,TRUE,Trail,Skipping Icebergs,Time trial,27.56,Trail
2020-12-22 18:43:04,Yes,https://drive.google.com/open?id=1QGnNINZ5JCKseP5iSWa6pCIV8tGO9HUr,hschindele,iOS,Rotkamm,,,,,,TRUE,Race,The Ice Bowl,Time trial,27.41,Race
2021-04-05 17:04:28,Yes,https://drive.google.com/open?id=1VRyNVuqtnebvC6pj_aqdpfZRN165TxFY,hschindele,iOS,Rotkamm,,,,,,TRUE,Race,The Village Run,Time trial,26.62,Race
2021-03-26 15:13:55,Yes,https://drive.google.com/open?id=1mvADIg3tpx1fzxypB4PqVkNJ3DKBW0mZ,BouncyJello,Android,Dalarna,,,,,,TRUE,Race,The Dala Horse Trail,Time trial,22.76,Race
2022-03-29 13:48:57,Yes,https://drive.google.com/open?id=1g5YxBi1uZuFDZTq4Qu4sn497ICXeDu7G,Mountain_Greg,Android,Rotkamm,,,,,,TRUE,,The Broken Trail,Time trial,38.98,Race
