,Timestamp,Verified?,Link,Name,OS,Mountain,Was WR,challenge name,type,score,chaltype
1550,2021-02-18 19:38:33,Yes,https://drive.google.com/open?id=1BKEEp1vFLtSMvqaUUNIaG7KZnp4Lmcx6,BouncyJello,Android,Waldtal,True,The Fork,High score,382.7,Distance
1555,2021-02-18 19:46:11,Yes,https://drive.google.com/open?id=1DBE2beWjSkKoALzOW5dsBaY_XP5bUX2n,BouncyJello,Android,Rotkamm,True,Pilgrim Run,High score,406.2,Distance
1554,2021-02-18 19:44:46,Yes,https://drive.google.com/open?id=1our76mvUTfEupTeMzv71lvsgXSxgSQQo,BouncyJello,Android,Elnakka,True,Boulder Hill Escape,High score,306.6,Distance
1551,2021-02-18 19:40:01,Yes,https://drive.google.com/open?id=17MisneTIHobonS_87bQ0x781uofhDYwu,BouncyJello,Android,Elnakka,True,Bear Cub Run,High score,16.0,Slap
3878,2020-04-23 12:33:51,Yes,https://drive.google.com/open?id=1q4Hg129k7RB5eNRB8agltJe4-Ccw0Xih,Lars Schrier,iOS,Elnakka,True,The Pist Bully,High score,31.0,Slap
1356,2021-02-10 18:40:31,Yes,https://drive.google.com/open?id=1S_zc1NNGn_Qbwqlyk8fW3nmHUQLJCGyy,BouncyJello,Android,Saint Luvette,True,Baton Rouge,High score,20.0,Slap
3403,2021-06-14 11:25:50,Yes,https://drive.google.com/open?id=1aOlpeyZAcPq_gAkTWB9d3jWj_hSsuNBT,hschindele,iOS,Saint Luvette,True,Un Chapeau Courageux,High score,391.8,Distance
3205,2021-05-25 12:41:05,Yes,https://drive.google.com/open?id=1orx63HXULbmJOL0YjHSM1ADSFrtVVpKx,BouncyJello,Android,Passo Grolla,True,Il Stupido,High score,290.1,Distance
3094,2021-05-07 14:45:27,Yes,https://drive.google.com/open?id=1GA4gPEIXHNfB-qLNjVDMldZCkwSpSmo8,BouncyJello,Android,Ben Ailig,True,The Meall Exit,High score,307.7,Distance
3351,2021-06-08 06:36:54,Yes,https://drive.google.com/open?id=1z_iiG3l0PIUk6Dvwsjt8PkhNFh4f_uS_,Skier50,iOS,Pinecone Peaks,True,Find Your Way,High score,284.0,Distance
3576,2021-07-05 21:19:20,Yes,https://drive.google.com/open?id=1rpC0ZYVQSalq__liZSoffIUvu6bdePDs,Skier50,iOS,Elnakka,True,XL Park World,High score,100887.0,Gated Trick
3529,2021-06-30 19:19:39,Yes,https://drive.google.com/open?id=1wJH1XfFWYTWnU_N9PaMSTEDn7w7vlVxd,Skier50,iOS,Hirschalm,True,Glacier Park,High score,34703.0,Open Trick
3530,2021-06-30 19:20:23,Yes,https://drive.google.com/open?id=1s0yiBrDzcGPemwLGkMEImbYuZRDTDZPb,Skier50,iOS,Waldtal,True,Waldhorn Slopestyle,High score,54149.0,Gated Trick
324,2020-12-31 19:20:24,Yes,https://drive.google.com/open?id=1J2t8Y2Lmg2HzgwQcI7JgQNBEKwqvJpcj,BouncyJello,Android,Waldtal,True,The Waldhorn Falls,High score,110.1,Triple Drop
3636,2021-07-12 13:05:27,Yes,https://drive.google.com/open?id=1AKvB5N0XUHNYIogo1ealzgNWxTmlkbhx,Skier50,iOS,Elnakka,True,Elnakka Freedom,High score,31854.0,Open Trick
3611,2021-07-09 11:32:59,Yes,https://drive.google.com/open?id=1XLow1H_ZC5xiDguLL-IP7c6rI3kruWg6,Skier50,iOS,Dalarna,True,Orsa Animal Park,High score,64053.0,Gated Trick
315,2020-12-31 00:34:29,Yes,https://drive.google.com/open?id=1qpV-fACV22DCdlO6UaWMXvuzu1HZ-y1h,Shadow,iOS,Elnakka,True,The Yards,High score,68.4,Long Jump
3976,2020-05-01 07:58:45,Yes,https://drive.google.com/open?id=1pDEdH-SC3XpDYpECFG_VTP6i3gEAHb4E,DeathSpawned,Android,Passo Grolla,True,Caso Della Stella,High score,89.7,Single Drop
3365,2021-06-10 17:31:50,Yes,https://drive.google.com/open?id=1K_GmhLaZ5Wtrj6Qz8SN6baBC1fJxKA7q,Skier50,iOS,Saint Luvette,True,Trix De Ville,High score,51986.0,Gated Trick
1548,2021-02-18 19:37:02,Yes,https://drive.google.com/open?id=1GuYpWDAdb9LqSTm8Qb6R4TNy7PqWo7S_,BouncyJello,Android,Hirschalm,True,The Glacier Kicker,High score,75.2,Long Jump
3630,2021-07-10 18:57:42,Yes,https://drive.google.com/open?id=1jxRuofu9xRytB9IAhPc7mcRKp_jHR-bW,Skier50,iOS,Ben Ailig,True,The Delucia Transfers,High score,32321.0,Open Trick
3567,2021-07-05 21:07:11,Yes,https://drive.google.com/open?id=1WK1ZzYFnsaAOyoWFCf91xJE5vhZwsJlZ,Skier50,iOS,Ben Ailig,True,MacAskill Riding,High score,30577.0,Gated Trick
3531,2021-06-30 19:21:09,Yes,https://drive.google.com/open?id=1oVcrUgI190qrqNHSYZFNE-4IJczeeGmB,Skier50,iOS,Elnakka,True,The Boulder Hill Descent,High score,52510.0,Gated Trick
1553,2021-02-18 19:43:04,Yes,https://drive.google.com/open?id=12V0SQln8NPW_lHjrUSokWus3wNCNWNyD,BouncyJello,Android,Elnakka,True,The Road Gaps,High score,130.0,Triple Drop
3563,2021-07-05 21:02:11,Yes,https://drive.google.com/open?id=1YFlm5wioi1AXkJWPCMThX5TueSScWI8j,Skier50,iOS,Elnakka,True,Terve Jumping,High score,31551.0,Gated Trick
3098,2021-05-08 15:19:37,Yes,https://drive.google.com/open?id=1bx4OiDGtlX3ulXVJbntSDgPJDvemEPLY,Skier50,iOS,Mount Fairview,True,Best Eagle Cookie Park,High score,31113.0,Gated Trick
3536,2021-06-30 19:25:33,Yes,https://drive.google.com/open?id=1kE9s9IuiLgPbmQjZEiguQYDvCsnJGq00,Skier50,iOS,Mount Fairview,True,Ollies Invite Only,High score,49350.0,Gated Trick
3632,2021-07-11 12:14:52,Yes,https://drive.google.com/open?id=1G6BVXVL_N97fYiFKojO9pEi-VHC-lFDh,Skier50,iOS,Mount Fairview,True,Freeride Scout,High score,47383.0,Open Trick
3011,2021-04-27 07:24:27,Yes,https://drive.google.com/open?id=1-1B8hHfAYhqvxbcV_aKcL-FAihBpvUoN,Skier50,iOS,Mount Fairview,True,Booster Berries,High score,41617.0,Open Trick
2923,2021-04-16 07:43:50,Yes,https://drive.google.com/open?id=1C-r7ahAbPPDIydTE8xvTjXbEi-LZPGf9,Skier50,iOS,Mount Fairview,True,The Sidehit Road,High score,35349.0,Gated Trick
